,Title,"Q:Which day, month and year did the crime happen?",Q:what time of the day did the crime happen?,"Q:Did the crime happen in the morning, afternoon,  evening or night?","Q:Did the crime happend on a weekday, weekend or holidays?",Q:What type of crime?,Q:What is the type of the crime?,Q:Is the crime violent or non-violent?,Q:Use 5 key words to describe this crime.,"Q:Map the crime to the crime type: theft, homicide, sex abuse, robbery, burglary",Q:In what location did the crime happend?,Q:Give me the accurate location of the crime.,Q:Did the crime happen in a public or private place?,Q:Did the crime happen in a residential or commercial area?,Q:Did the crime happen indoors or outdoors?
371,"Guard shoots, injures teen at Metro station",Thursday,Thursday night,evening,Thursday,serious,assault with intent to kill,violent,A guard providing extra security to help abate crime,robbery,Fort Totten Metro station,Fort Totten Metro station,public,Metro station,on a train platform
372,Traffic-blocking charges against Ashli Babbitt's mother dropped,"Jan. 6, 2021",Jan. 6,morning,Jan. 6,blocking traffic,blocking and obstructing roadways,non-violent,Prosecutors said Thursday they have dropped,homicide,Capitol grounds,Independence Avenue SW,public,commercial,outdoors
373,Metro beefs up modified gates to curb fare evasion,March,a.,evening,weekday,fare evasion,fare evasion,fare evasion,Fare evasion is a crime that,robbery,Fort Totten station,Fort Totten station in Northeast Washington,within the Metrorail system,Metrorail system,within the Metrorail system
374,"Student, 17, fatally shot outside Roosevelt High",Wednesday,afternoon,afternoon,Wednesday,gun violence,fatally shot,violent,A 17-year-old Roosevelt High School student,homicide,Roosevelt High School,Roosevelt High School,public,parking lot,in the school's parking lot
375,Mother charged in courtroom outburst,"Dec. 21,",night,night,"On Dec. 21, when a federal jury in","assaulting, resisting or impeding certain","assaulting, resisting or impeding certain",violent,"On Dec. 21, when a federal jury in",homicide,Washington,Washington,courtroom,D.C.,indoors
376,Girl hit by stray gunfire is dead,Sunday,about 9:15 p.m.,evening,Sunday,Violent crime,homicide,violent,Arianna Davis was shot and critically injured while riding,homicide,Northeast Washington,Northeast Washington,residential street,residential,outdoors
377,"Jail's medical care is 'systemically dysfunctional,' federal lawsuit says",Jan. 6,Monday,night,weekday,rape,insurrection,non-violent,People incarcerated in D.C.,robbery,Metro Jail,D.C.,public,D.C.,indoors
378,Police chief's exit is latest among D.C. leadership,"Jan. 6, 2021",morning,morning,weekday,violent crime,violent crime,violent,The retirement of D.C. Police Chief Robert,homicide,the U.S. Capitol,D.C.,parking lot,downtown,outdoor
379,"Black church in Annapolis suffers estimated $100,000 in vandalism damage",June 8,Sunday,early June,Sunday,vandalism,vandalism,non-violent,The Rev. Jerome Jones Sr. is,Vandalism,Fowler United Methodist Church,Fowler United Methodist Church,church,church,indoors
380,No review for ruling on gender dysphoria,1 July 2023,1 July 2023,evening,Friday,drug-dealing,helping a drug-dealing boyfriend,non-violent,The Supreme Court on Friday said it would not review,sex abuse,Washington,Fairfax County,jail,Washington,indoors
381,"Fines, fees won't stop license renewal",7 January 2023,a.,night,weekday,littering,littering,non-violent,Thousands of D.C. residents who couldn,D.C.,D.C.,D.C.,public,residential,outdoors
382,Kids again kings of car theft in D.C. What's the fix?,Sunday,afternoon,afternoon,Sunday,car theft,carjackings,violent,Crime in the nation's capital was rising and,theft,Anacostia neighborhood of Southeast Washington,Anacostia neighborhood of Southeast Washington,public,residential,outdoors
383,Local Digest,25 August 2023,morning,morning,Tuesday,felony,felony,violent,man charged with road rage,robbery,Interstate 66,I-66,highway,neighborhood,outdoors
384,Two dozen police calls tied to Virginia suspect,20 May 2023,morning,morning,weekday,assault on a federal employee,assault on a federal employee,violent,Fairfax County police received 25 calls for service in,robbery,Fairfax City,Fairfax County,private,residential,outdoor
385,5 shootings in Md. and D.C. over 1½ hours,Thursday,evening,evening,Thursday,Violent crime,shootings,violent,"Over a 112-hour stretch, five",homicide,"the Riverdale area, not the Riverside area",Riverside area,public,commercial,outside
386,Bowser selects MPD's second-in-command to be interim police chief,20 May 2023,day-to-day,evening,weekday,high-profile,high-profile,non-violent,Ashan Benedict will serve as interim police chief after,robbery,the Capitol,D.C.,public,commercial,outdoors
387,Incarcerated youths arrested after officer is assaulted,Sunday,8:25 p.m.,evening,Sunday,assaulting a police officer,assaulting a police officer,violent,Five juveniles incarcerated at a,robbery,Youth Services Center,Northeast Washington,public,incarcerated,indoors
388,Carjackings prompt round of finger-pointing,Oct. 26,Monday,night,Monday,carjacking,carjacking,violent,D.C. Mayor Muriel E. Bow,robbery,Northeast Washington,Northeast Washington,public,Northeast Washington,outdoors
389,Family sues over jail suicide,November 2018,he walked into a Wells Far,evening,November 2018,robbery,robbery,violent,"Christopher Lapp, 62, was diagnosed with",robbery,Wells Fargo Bank,Wells Fargo Bank,Wells Fargo Bank,commercial,outside
390,"Formerly imprisoned, he's finally being heard",2010,Early one morning,morning,Thursday,assault,assaulting the deputy,non-violent,"Reginald ""Neli"" La",robbery,"Stafford County, Va.","Stafford County, Va.",public,residential,indoors
391,Arrest made in Metro killing,Sunday morning shooting on May 28,Sunday morning,afternoon,Sunday morning,"robberies, larcenies",homicide,violent,D.C. police arrested a man in,homicide,Waterfront station,D.C.,public,business,outdoors
392,Local Digest,Tuesday,just before 4 p.m,afternoon,Tuesday,shooting,shooting,violent,Two people were shot at a Suitl,robbery,Suitland,Suitland,private,apartment complex,indoors
393,"In first 3 days of August, 5 people were fatally shot","August,",10:30 p.m.,night,weekday,Violent crime,homicides,Violent,Five people were fatally shot in D.C,homicide,Forrester Street SW,Forrester Street SW,private,residential,outdoors
394,Hearing is short of a grilling for acting chief,August,during times when the offenses tend to occur,during times when the offenses tend to occur,during times when the offenses tend to occur,homicide,homicide,violent,Acting D.C. police Chief Pamel,homicide,D.C.,D.C.,public,neighborhoods,outdoors
395,D.C. homicide count continues to climb,Tuesday,afternoon,afternoon,Tuesday,homicide,homicide,violent,The teen was shot moments after he left,homicide,Northwest Washington,Northwest Washington,school,residential,on the streets
396,"Man out on bail amid D.C. murder trial arrested in Md. on gun, drug charges",29 March 2023,a group of men opened fire in Northeast Washington,evening,weekday,murder,murder,violent,Marquell Cobbs was 16 when he,homicide,Northeast Washington,Northeast Washington,public,Northeast Washington,outdoors
397,Staffer for Rand Paul is stabbed on H Street,Saturday,evening,evening,weekend,homicides,assault with intent to kill,brutally,A staffer who works for Sen. Rand Paul,homicide,"Washington, D.C.",H Street NE,public,commercial,outdoors
398,Off-duty housing authority police officer is shot in Northeast,25 October 2023,evening,evening,Tuesday,off-duty,shooting,non-violent,A D.C. Housing Authority police officer was,robbery,between Bladensburg and Montana avenues,New York Avenue in Northeast Washington,private,residential,outdoors
399,Day-care teachers attacked on street,Monday,afternoon,afternoon,Monday,violent,assault,violent,The attack came amid a spike in violent crime,sex abuse,Bloomingdale neighborhood's historic district,Bloomingdale neighborhood's historic district,day-care center,residential,outside
400,"Max, the senior dog stolen at gunpoint, is back home",Saturday,evening,evening,Saturday,robbery,stolen at gunpoint,violent,The dog was found about six miles from home.,robbery,D.C.,D.C.,public,residential,outdoors
401,Police officer found guilty of sexually abusing child for 2 years,13 July 2023,sex assaults,night,weekday,sexually abusing child,sexually abusing child,non-violent,A D.C. police officer was found guilty,sex abuse,the Southeast Washington home,D.C.,private,residential,indoors
402,Records: Teacher killed during possible robbery at Catholic University,13 July 2023,around 7:30 a.m,morning,weekday,robbery,felony murder,violent,"Jaime Macedo, 22, charged with",homicide,Catholic University's campus,Catholic University's campus,public,campus,outdoors
403,Driver fleeing Secret Service kills pedestrian,13 July 2023,afternoon,afternoon,Wednesday afternoon,traffic,traffic stop,violent,A car whose driver fled a traffic stop,homicide,Northwest Washington,17th Street and Constitution Avenue in Northwest Washington,public,Northwest Washington,outdoors
404,Teen found guilty in fatal 2022 shooting,"June 19, 2022",8:30 p.m,evening,Juneteenth,murder,second-degree murder,violent,A D.C. Superior Court judge on Friday,homicide,Moechella,14th and U streets NW,public,outdoor,outdoor
405,"Army officer pepper-sprayed during traffic stop awarded $3,685 by jury","Dec. 5, 2020",it was dark,evening,"Dec. 5, 2020",traffic stop,a 2020 traffic stop,violent,"A federal jury in Virginia on Tuesday awarded $3,",robbery,gas station parking lot,"Windsor, Va.",gas station,commercial,outdoor
406,Local Digest,"September 29, 2020,",8:50 p.m.,night,Tuesday,marijuana,voluntary manslaughter,violent,A Maryland man pleaded guilty Wednesday in D,homicide,Northwest Washington,Northwest Washington.,a carryout restaurant,a carryout restaurant,outside
407,"For Parker, a leadership test comes quickly because of a child's killing","Jan. 7,",early hours,early hours,early hours of Jan. 7,violent crime,"Karon Blake, a Black 13-year",violent,"Karon Blake, a Black 13-year",homicide,D.C.,"Karon Blake, a Black 13-year",public,residential,indoors
408,Plan to arm GWU police met by protests,"November, three U-Va. students were",Monday,morning,Monday,gun violence,mass shootings,violent,Students protest plans to arm some George Washington University police,homicide,D.C.,D.C.,public,urban neighborhoods,indoors
409,Local Digest,Monday,Monday,Monday,Monday,methamphetamine related drug,Three students at an elementary school in Rockville became,non-violent,Police: Kids sickened by drug-laced,Police: Kids sickened by drug-laced,Rockville,Rockville,public,Rockville,outdoor
410,"Boy fatally stabbed his father, D.C. police say",Sunday,about 8 a.m.,morning,Sunday,homicide,homicide,violent,Police have charged a 13-year-old,homicide,an apartment building,the 3100 block of 16th Street NW,private,residential,inside an apartment building
411,"D.C. housing workers accused of conflicts, fraud",31 March 2023,FINAL B01,morning,weekday,fraud,fraud,non-violent,The D.C. Housing Authority recently parted,robbery,D.C.,D.C.,public,residential,indoors
412,Washington unites these Black feminist pioneers,31 March 2023,"a decade before the famous Greensboro,",evening,weekday,raped,raped,non-violent,Let's talk about some of the social justice,sex abuse,D.C.,Martin Luther King Memorial Library,public,residential,indoors
413,Va. man is latest in Jan. 6 arrests,"Jan. 6, 2021",afternoon,afternoon,Jan. 6,felony assault on a police officer,assault on a police officer,violent,"Lewis Wayne Snoots, 59,",felony assault on a police officer,D.C.,D.C.,public,D.C.,outside
414,3 arrested in shooting in the Waterfront area,Tuesday,4:20p.m,afternoon,Tuesday,Homicides,murder,violent,Three men who were among five people shot inside an,homicide,Southwest Washington's Waterfront area,M Street SW,private,residential,inside
415,Local Digest,21 January 2023,6:50 p.m.,afternoon,weekday,abduction,abduction,non-violent,A Virginia woman who allegedly drove off in ,robbery,Little River Turnpike,Fairfax County,parking lot,parking lot,outdoor
416,Murder charge for D.C. officer,"Aug. 25, 2021",2:30 a.m,morning,on-duty,second-degree murder,second-degree murder,violent,A federal grand jury has charged a D.,homicide,New York and Florida avenues NE,D.C.,public,D.C.,outdoors
417,Inquiry clears D.C. police in arrests,"June 1, 2020",night,night,night,curfew violations,curfew violations,violent,D.C. police internal affairs investigators have,robbery,Swann Street NW,Swann Street NW,Swann Street NW,Swann Street NW,outdoors
418,Local Digest,21 April 2023,night,night,Thursday,Homicides,Homicides,violent,Marine Corps Base Quantico issued a shelter-,robbery,Shaw neighborhood,Quantico,private,residential,outdoors
419,D.C. police officer shoots man in Anacostia,Friday,morning,morning,Friday morning,violence,A D.C. police officer shot and injured,violent,A D.C. police officer shot and injured,robbery,the Anacostia neighborhood of Southeast Washington,the 1300 block of Good Hope Road SE,public,residential,inside
420,Police officer who fatally shot man won't face charges,July 30,4 p.m.,afternoon,July 30,criminal,criminal,violent,Prosecutors announced Thursday that they will,homicide,Fort Slocum Park,Fort Slocum Park on Madison Street NW,public,Fort Slocum Park,outdoors
421,"Antiabortion activists' suit against D.C. can proceed, court rules",August 2020,before dawn,morning,weekday,defacement,defacement,non-violent,The U.S. Court of Appeals for,sex abuse,Northeast Washington,16th Street NW,public,public,outside
422,An ex-warden says there's one sure way to curb crime,16 August 2023,During his 23 years with the D.C,night,weekday,homicides,homicides,violent,Ken Washington got to know a lot of in,homicide,D.C.,D.C.,public,residential,outdoors
423,Costs of reckless driving go far beyond the financial,"March 15, the driver of an SUV fleeing",wee hours,wee hours,weekend,reckless driving,reckless driving,violent,D.C. has been repeatedly caught speeding,homicide,D.C,D.C.,public,residential,outdoors
424,Local Digest,Monday,early,early,Monday,assault,assault,violent,A firefighter was fatally shot early Monday,homicide,"Charles County, Md.","Charles County, Md.",private,residential,outside
425,"Teen killed in fight over sauce, D.C. police say",29 August 2023,after 2 a.m,night,weekend,violence,murder,violent,A 16-year-old girl was charged with,homicide,14th and U Streets NW,14th and U Streets NW,outside a McDonald's,commercial,outside a McDonald's
426,Questions abound over death at Va. jail,Sunday,7 a.m.,morning,Sunday,trespassing,trespassing,non-violent,Abonesh Woldegeorges,trespassing,Arlington County Detention Center,Arlington County Detention Center,public,airport,indoors
427,D.C. owes millions in gun lawsuit,29 August 2023,night,night,weekend,gun,gun-related,non-violent,D.C. will pay $5.1 million as,robbery,D.C.,D.C.,public,residential,outside
428,New details in crash that killed 3 in D.C.,March 15,just after 1:30 a.m,night,weekday,DUI,second-degree murder,violent,The woman accused of crashing into a sedan,homicide,Rock Creek Parkway,Rock Creek Parkway,private,Rock Creek Parkway,outdoors
429,Local Digest,24 May 2023,8:45 a.m,morning,Thursday,homicide,homicide,violent,homicide,homicide,College Park,College Park,private,residential,inside
430,Driver accused of threatening president,Monday,9:30 p.m.,night,Monday,trespassing,trespassing,non-violent,A 19-year-old Missouri man with ,homicide,White House,H Street NW near 16th Street,White House,near the White House,outdoors
431,"Ex-officer used illegal chokeholds, jury finds","July 13, 2018",9:30 p.m.,evening,five days,using illegal chokeholds,using excessive force under color of law,violent,Ex-police officer Mark L. Clark was,homicide,McDonald's restaurants,Southwest Washington near the National Mall,McDonald's restaurants,commercial,outside
432,,last month,multiple times per day,night,weekday,violent,Murder,violent,murder,homicide,Foggy Bottom area of Northwest D.C,Foggy Bottom area of Northwest D.C.,private,residential,indoors
433,Local Digest,Sunday,evening,evening,Saturday,homicides,homicides,violent,A man was killed in a shooting Saturday evening,homicide,Northeast Washington,Summerland Heights Apartments in the 1800 block,private,residential,indoors
434,"D.C. man arrested in killing of girl, 10",19 September 2023,Mother's Day,morning,Mother's Day,homicides,first-degree murder,violent,Police arrested a man in the killing of Ari,homicide,Hayes Street NE,Hayes Street NE,private,residential,outdoors
435,5 convicted of murder in 2018 shooting of 10-year-old girl in D.C.,"July 16, 2018",early evening,evening,early evening,murder,murder,violent,A jury in D.C. Superior Court on,homicide,Northeast Washington,Northeast Washington,courtyard,residential,courtyard
436,Local Digest,14 June 2023,early,early,weekend,carjacking,abduction by force,violent,A man who police allege abducted two people,homicide,Fairfax,Fairfax County,public,residential,outdoor
437,Rioter gets 2 months in jail,"Jan. 6, 2021","Jan. 6, 2021",night,"Jan. 6, 2021",riot,a misdemeanor offense,violent,A D.C. chiropractor who took part in,homicide,the U.S. Capitol,D.C.,public,Capitol building,indoors
438,Raids target alleged robbery racket,31 August 2023,a spike in carjackings and ,night,Wednesday,robbery,robbery,violent,Authorities have dismantled a D.,robbery,D.C.,D.C.,private,residential,outdoor
439,"Sentencing for former Proud Boys leader Tarrio, top deputy postponed","Jan. 6, 2021",Jan. 6,evening,"Jan. 6, 2021",terrorism,seditious conspiracy,violent,A federal judge did not proceed as planned with the,robbery,the Capitol,D.C.,Capitol,Capitol,outdoor
440,Virginia launches fund for victims of mass violence,In 2022,"a chaotic jumble of grief, ",night,November,mass killings,mass killings,mass killings,The aftermath of such shootings is a chaotic,homicide,Virginia Tech,Virginia Tech,public,commercial,indoors
441,Local Digest,Friday,Friday night,evening,Friday,disorderly,Disorderly Affray,violent,A sprawling fight and public disturbance at a,A sprawling fight and public disturbance at a,Wawa,40th Street NW,public,commercial,inside and outside
442,"As a rapist seeks freedom after 30 years, victim's plea moves judge to tears",3 February 2023,night,night,night,rape,rape,brutality,Two women who were abducted in D.C,sex abuse,D.C.,D.C.,D.C.,D.C.,outdoors
443,Toll of violent weekend ticks up,August,Saturday night,night,weekend,violent,homicide,violent,The District's homicide count climbed,homicide,Adams Morgan,Ontario Street NW,public,residential,outdoors
444,"As usual, Trump passes through D.C. but doesn't see it","Jan. 6, 2021",a very sad day for America,night,Thursday,graffiti,efforts to overturn his 2020 reelection,violence,Former president Donald Trump's motorcade rolled,robbery,beneath the U.S. Capitol grounds,D.C.,public,residential,underground
445,More tests ordered for defendant in stabbing,March 25,late afternoon,afternoon,weekend,assault with intent to kill,assault with intent to kill,violent,A judge on Friday ordered additional testing and collection of,homicide,Northeast Washington,H Street corridor in Northeast Washington,restaurant,commercial,indoors
446,"Man and two children, ages 6 and 9, shot exiting Metro bus in Northwest",Wednesday,afternoon,afternoon,Wednesday,shooting,shooting,violent,Two young children and a man were shot and,robbery,Northwest Washington,Northwest Washington,public,residential,outdoors
447,Prosecutors drop charges against local activist,"Oct. 14,",during the World Bank and International Monetary Fund,afternoon,weekday,assaulting a police officer,assaulting a police officer,violent,Prosecutors dropped charges against Kevin C,robbery,D.C.,D.C.,public,D.C.,outdoors
448,Here's what D.C.'s emergency crime bill would do,17 July 2023,mid-July,night,Tuesday,violent crime,felony strangulation offense,violent,The pressure's on: As D.C,robbery,D.C.,D.C.,public,residential,public
449,"1 killed, 3 wounded in shooting outside D.C. funeral home",12 April 2023,afternoon,afternoon,Tuesday,homicide,homicide,violent,One man was killed and three other people were wounded,homicide,Stewart Funeral Home,Benning Road NE,private,residential,outside
450,12-year-old admits to robbing Uber Eats driver,June,5 p.m,afternoon,Monday,robbery,robbery,non-violent,A 12-year-old D.C. youth,robbery,D.C.,3100 block of 14th Street NW,public,commercial,outdoors
451,"Md. woman charged in grisly killing of mother, 71","May 23,",1:35 p.m,afternoon,Friday,murder,murder,violent,A Hyattsville woman has been charged in,homicide,the 200 block of Hill Road in Landover,200 block of Hill Road in Landover,private,residential,inside
452,Local Digest,6 June 2023,early,early,Sunday,homicides,homicides,homicides,"Glenn W. Eubanks III, Alexandria",robbery,Southeast Washington,Southeast Washington,public,residential,indoors
453,Deputy marshals fatally shoot man in SE,1 March 2023,afternoon,afternoon,Tuesday,parole violation,parole violation,violent,The incident occurred about 1 p.m.,homicide,Washington Highlands,the 4300 block of Third Street SE,residential neighborhood,residential,in a residential neighborhood
454,Man charged in May killing of girlfriend's toddler,May 27,10:50 p.m,evening,May,murder,murder,violent,"Kevin Robinson, 38, of District Heights was arrested",homicide,an apartment in the 2100 block of County Road,2100 block of County Road,private,residential,inside
455,Breach exposes D.C. data on voters,8 October 2023,Friday,Friday,Friday,hacking,hacking,non-violent,Hacking group claims responsibility for the data breach.,ransomware,D.C.,D.C.,public,D.C.,indoors
456,D.C. mom's death leads to national drug bust,21 November 2023,Monday,evening,Monday,homicides,homicides,non-violent,A drug overdose that killed a young mother,homicide,D.C.,D.C.,private,residential,inside
457,D.C. sues fixer-upper company Curbio,21 November 2023,Monday,morning,Monday,"rob an older lady for $57,000",taking advantage of,non-violent,D.C. Attorney General Brian L. Schwa,burglary,D.C.,D.C.,private,residential,indoors
458,Local Digest,Monday,afternoon,afternoon,Monday,shooting,shooting,A man was fatally shot Monday afternoon outside an,A man was fatally shot Monday afternoon outside an,robbery,outside an elementary school,Western Avenue,church,residential,outside
459,"Homeless after years in prison, a man got more than food at Miriam's Kitchen",September day in 2018,morning,morning,weekday,assault,"assault, attempted murder and weapons possession",Nonviolence,"Andrew Anderson was released from federal prison in Atlanta,",robbery,Atlanta,Atlanta,public,residential,outdoors
460,Local Digest,Monday,about 2 p.m.,evening,Monday,house fire,murder,violent,"Two men were killed, and a third was",homicide,Indian Head,Charles County,public,residential,outdoors
461,Mother: D.C. police shot son next to her,Friday,shortly before 10 a.m.,morning,Friday,assault,assault,violent,A woman who was sitting next to her son in,homicide,Anacostia,Good Hope Road SE,private,residential,outdoors
462,Family decries clearing of sergeant in fatal shooting,July,during a pursuit,evening,weekday,fatal shooting,fatal shooting,violent,The family of a 31-year-old,homicide,Fort Slocum Park,Fort Slocum Park,public,Fort Slocum Park,outdoors
463,D.C. knows fight against youth crime starts at home,15 February 2023,Saturday,night,Saturday,violent crime,violent,violent,A community forum to discuss violent crime committed by juvenile,robbery,Shaw neighborhood,Shaw neighborhood,home,residential,indoors
464,ACLU sues D.C. over its crisis response,Thursday,Thursday,night,Thursday,mental health crisis,mental health emergencies,non-violent,The American Civil Liberties Union of D.C,The American Civil Liberties Union of D.C,D.C.,D.C.,public,residential,indoors
465,Southeast man accused in killing behind bars,Thursday,shortly before 9:30 a.m.,morning,Thursday,killing,fatal stabbing,violent,A man jailed while awaiting trial in,homicide,Central Treatment Facility,the 1900 block of E Street SE,jail,alley,alley
466,"In recording, man recants earlier tale of finding body",February,early,early,early February,murder,murder,violent,LaVaughn Barnes allegedly told police ,homicide,Brookland,Brookland,Brookland home,Brookland,outdoors
467,Outgoing D.C. police chief says he pushed city to 'think differently',2021,all hours of the day and night,day and night,day,violent crime,violent,violent,D.C. was on edge in the summer,D.C. was on edge in the summer,Le Diplomate on 14th Street NW,14th Street NW,public,residential,outdoor
468,Local Digest,Saturday,early Saturday morning,morning,Saturday,shooting,shooting,violent,man fatally shot in southeast,homicide,4000 block of 4th Street SE,4000 block of 4th Street SE,private,residential,indoors
469,District judge upholds gun ban,"Jan. 6, 2021","Jan. 6, 2021",night,"Jan. 6, 2021",misdemeanor,misdemeanor,non-violent,A federal judge rejected a challenge to the government,misdemeanor,Capitol,Washington,public,Capitol,outdoors
470,D.C. is sued over 2020 policing of protests,"May 30, 2020",a.m.,evening,weekday,racial justice protests,assault,violent,A civil justice organization accused D.C. police,homicide,"Washington, D.C.",17th and K streets NW,public,streets,outdoors
471,Local Digest,23 February 2023,late,night,Tuesday,shooting,homicide,violent,"Shooting, Alexandria, Alexandria, Alexandria, Alexandria",homicide,"Northeast Washington, D.C.","Northeast Washington, D.C.",private,residential,indoors
472,Firm files report on alleged misconduct by Md. principal,2016,Friday,afternoon,weekday,harassment,harassment,non-violent,The board did not answer questions about whether or how,sex abuse,Middle School,Farquhar Middle School,public,Middle School,Middle School
473,Arrest made in the fatal 1994 stabbing of mother,Thanksgiving,p.m.,evening,weekend,murder,murder,violent,Police say they have a suspect in custody in,homicide,"West Springfield, Va.","West Springfield, Va.",private,residential,in their home
474,Amtrak argues for takeover of station,Monday,Monday,Monday,Monday,eminent domain,eminent domain,non-violent,Amtrak presented its case Monday for seizing,robbery,Union Station,D.C.'s Union Station,public,commercial,indoors
475,"Teens arrested, charged in fatal carjacking of student",May 11,6:35 p.m.,evening,May 11,carjacking,carjacking,violent,Two teens have been arrested and charged in the fatal,homicide,Forestville,Ritchie Road,public,residential,outdoor
476,Local Digest,18 June 2023,early,early,Saturday,homicide,homicide,homicide,A man who was found dead in Fairfax City,homicide,Fairfax Boulevard,Fairfax Boulevard,public,residential,indoors
477,Judge tosses lawsuit alleging violation of inmates' labor,18 June 2023,"As soon as the sun rises, we'",night,weekday,misdemeanor,misdemeanor,non-violent,A federal judge dismissed a class-action lawsuit,A federal judge dismissed a class-action lawsuit,Baltimore County Detention Center,Baltimore County Detention Center,jail,jail,open-air
478,"Man posing as ICE officer arrested, faces rape charges",Tuesday,8:15 p.m.,evening,Tuesday,rape,sexual assault,violent,"Victim was walking to her vehicle when Reed,",sex abuse,in a shopping center parking lot,Saint Barnabas Road,in a shopping center parking lot,commercial,in a shopping center parking lot
479,"Two men die in Capitol Hill double shooting, police say",Sunday,Sunday night,night,Sunday,homicide,homicide,violent,"Capitol Hill double shooting, police say",homicide,Capitol Hill,the 400 block of 11th Street SE,residential and commercial,residential,outdoor
480,Former ABC News producer jailed until trial on child pornography charge,7 February 2023,Monday,evening,Monday,child pornography,child pornography,non-violent,"James Gordon Meek, 53, was charged with",sex abuse,Virginia,Virginia,private,residential,indoors
481,Local Digest,Sunday,1:30 p.m.,1:30 p.m.,Sunday,Robbery,armed robbery,armed,"Robbery, down coat, down coat,",robbery,18th and T Streets NW,18th and T Streets NW,public,"Washington, D.C.",outdoor
482,Local Digest,Saturday,late,late,Saturday,homicide,homicide,violent,"Amar Harris, of Southeast, who was soon",homicide,Northeast Washington,Northeast Washington,nightclub,nightclub,inside
483,"Ford's Theatre tickets for night of Lincoln's murder sell for $262,500","April 14, 1865",night,night,night,murder,murder,murder,Lincoln was murdered at the theater that night by actor,homicide,Ford's Theatre,Ford's Theatre,public,boardinghouse,indoors
484,Police report seven slayings in past seven days in D.C.,April 30,night,night,weekday,homicides,homicides,violent,A man was fatally shot in Southeast Washington on,homicide,Southeast Washington,4400 block of B Street SE,in a dwelling,dwelling,indoors
485,Local Digest,"April 9,",Around 3:20 a.m.,night,weekday,murder,first-degree murder,violent,A Maryland man was charged with first-degree murder,homicide,Silver Spring,Silver Spring,private,residential,indoors
486,Young lives lost again to gunfire in District,Sunday,Sunday night,evening,weekend,Violent crime,Violent crime,violent,The violence marred a three-day holiday,homicide,Garfield Heights,Garfield Heights,private,residential,outside
487,Local Digest,Saturday,about 4:15 p.m.,afternoon,Saturday,homicide,homicide,violent,A man was shot and killed early Sunday morning in,homicide,Seat Pleasant,Seat Pleasant,public,residential,indoors
488,Local Digest,March 13,The pilot aboard the Ever Forward when it ran ,early,Sunday,ran aground,ran aground,The pilot aboard the Ever Forward when it ran ,Pilot of stuck ship agrees to forgo license,Steven Germac,Chesapeake Bay,Maryland Board of Pilots,The pilot aboard the Ever Forward when it ran ,The pilot aboard the Ever Forward when it ran ,The pilot aboard the Ever Forward when it ran 
489,Local Digest,16 April 2023,morning,morning,Friday morning,"possession of an unregistered firearm, possession","possession of an unregistered firearm, possession",non-violent,A Maryland man in a delivery truck headed to,robbery,Capitol grounds,Capitol grounds,public,commercial,outdoors
490,'The city let me down': Mother mourns son,Friday,wee hours,wee hours,Friday,gun violence,gun violence,violent,Mylaki Young was killed while walking in the,homicide,LeDroit Park,200 block of V Street NW,public,residential,outdoors
491,D.C. is missing Black jurors,May 2020,during a May 2020 protest,night,May 2020,felony destruction of federal property,destruction of federal property,non-violent,It is a mystery hiding in plain sight:,It is a mystery hiding in plain sight:,Lincoln Memorial,D.C. Superior Court,public,D.C.,at the Lincoln Memorial
492,"Tulsa Race Massacre survivors, 108 and 102, receive Ghanaian citizenship","May 31, 1921",morning,morning,Tuesday,Race Massacre,Race Massacre,violence,The two survivors - Viola Fletcher,robbery,Tulsa,Greenwood in Tulsa,neighborhood,neighborhood,a White mob descended on the all
493,Understanding the District's rising homicide count,1 October 2023,around 1 a.m,night,weekend,homicide,homicide,violent,District is on track to end this year with worst,homicide,"Bellevue, a Southeast neighborhood that","Bellevue, a Southeast neighborhood that",private,residential,inside
494,Local Digest,29 April 2023,just before 6 p.m.,evening,Thursday,abduction,abduction,non-violent,"abduction, trespass, tre",robbery,Tysons Corner Center,Tysons Corner Center,public,commercial,outdoor
495,"After a slew of D.C. killings, chief presses commanders",August,Monday,night,weekend,violent,homicides,violent,The District's new police chief was angry.,D.C. has seen a 37 percent,Anacostia,Sixteen people had been shot dead in six days,public,neighborhood,outside
496,Jurors hard to find in abortion access trial,October 2020,a fourth day Monday,morning,weekday,Criminal,Criminal,blockade,Jury selection for a trial that focuses,sex abuse,D.C.,D.C.,private,residential,indoors
497,Local Digest,Saturday,3:40 p.m.,early,Saturday,Stolen ambulance chase,Stolen ambulance chase ends in D.C,violent,A man driving a truck crashed into vehicles on,homicide,Clinton area of Pr. George's,Clinton area of Pr. George's,private,rural,outdoors
498,Killings of children spur fear and outrage in D.C.,Wednesday,afternoon,afternoon,weekday,Homicides,Homicides,violent,A deadly week in the District that included a,homicide,Roosevelt High School,Petworth,parking lot,parking lot,parking lot
499,"'Safe Passage' worker shot, critically wounded near Coolidge High in NW",31 January 2023,afternoon,afternoon,Monday,Gun violence,shooting,violent,A man working with D.C.'s,robbery,Coolidge High School,Coolidge High School,public,residential,outdoors
500,2 youth shootings stir anger in D.C.,Sunday,Sunday night,night,weekend,juvenile crimes,juvenile crimes,violent,A 13-year-old middle school student was,homicide,Washington Highlands,Washington Highlands,private,residential,inside
